#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
COLDWARTEST_NAME;реярхпнбюмхе ункндмни бнимш;;;;;;;;;;;;;x
COLDWARTEST_DESC;реярхпнбюмхе ункндмни бнимш;;;;;;;;;;;;;x
COLDWARSTART_NAME;ункндмюъ бнимю мювхмюеряъ;;;;;;;;;;;;;x
COLDWARSTART_DESC;ункндмюъ бнимю мювхмюеряъ;;;;;;;;;;;;;x
ARABISRAELIWAR_NAME;юпюан-хгпюхкэяйюъ бнимю;;;;;;;;;;;;;x
ARABISRAELIWAR_DESC;юпюан-хгпюхкэяйюъ бнимю;;;;;;;;;;;;;x
KOREANWAR_NAME;йнпеияйюъ бнимю;;;;;;;;;;;;;x
KOREANWAR_DESC;йнпеияйюъ бнимю;;;;;;;;;;;;;x
VIETNAMWAR_NAME;бэермюляйюъ бнимю;;;;;;;;;;;;;x
VIETNAMWAR_DESC;бэермюляйюъ бнимю;;;;;;;;;;;;;x
AFGHANISTANWAR_NAME;ютцюмяйюъ бнимю;;;;;;;;;;;;;x
AFGHANISTANWAR_DESC;ютцюмяйюъ бнимю;;;;;;;;;;;;;x
GULFWAR_NAME;бнимю б гюкхбе;;;;;;;;;;;;;x
GULFWAR_DESC;бнимю б гюкхбе;;;;;;;;;;;;;x
