quotes_max;142;;;;;;;;;;;;;x
loading_quote_1;Забудь своих врагов, но никогда не забывай их имена.\n-John F. Kennedy ;;;;;;;;;;;Забудь своих врагов, но никогда не забывай их имена.\n-John F. Kennedy ;;x
loading_quote_2;Когда я был в Белом доме, я столкнулся с проблемой холодной войны. У Советского Союза и у нас было по 30 000 ядерных боеголовок, которые могли уничтожить всю Землю, и мне пришлось поддерживать мир.\n-Jimmy Carter;;;;;;;;;;;Когда я был в Белом доме, я столкнулся с проблемой холодной войны. У Советского Союза и у нас было по 30 000 ядерных боеголовок, которые могли уничтожить всю Землю, и мне пришлось поддерживать мир.\n-Jimmy Carter;;x
loading_quote_3;Холодная война не тает, он горит со смертельным тепла. Коммунизм не спит, это, как всегда, заговор, интриги, работая, борясь.\n-Richard M. Nixon ;;;;;;;;;;;Холодная война не тает, он горит со смертельным тепла. Коммунизм не спит, это, как всегда, заговор, интриги, работая, борясь.\n-Richard M. Nixon ;;x
loading_quote_4;Искусство политики заключается в зная точно, когда это необходимо, чтобы поразить противника немного ниже пояса.\n-Konrad Adenauer ;;;;;;;;;;;Искусство политики заключается в зная точно, когда это необходимо, чтобы поразить противника немного ниже пояса.\n-Konrad Adenauer ;;x
loading_quote_5;Только самые глупые телята выбрать свой собственный мясник.\n-Konrad Adenauer ;;;;;;;;;;;Только самые глупые телята выбрать свой собственный мясник.\n-Konrad Adenauer ;;x
loading_quote_6;Кеннеди приготовил суп, что Джонсон был съесть.\n-Konrad Adenauer ;;;;;;;;;;;Кеннеди приготовил суп, что Джонсон был съесть.\n-Konrad Adenauer ;;x
loading_quote_7;История это общая сумма вещей, которые можно было бы избежать.\n-Konrad Adenauer ;;;;;;;;;;;История это общая сумма вещей, которые можно было бы избежать.\n-Konrad Adenauer ;;x
loading_quote_8;Мои советники построили стену между мной и моим народом. Я не понимал, что происходит. Когда я проснулся, я потерял мой народ.\n-Mohammed Reza Pahlavi ;;;;;;;;;;;Мои советники построили стену между мной и моим народом. Я не понимал, что происходит. Когда я проснулся, я потерял мой народ.\n-Mohammed Reza Pahlavi ;;x
loading_quote_9;Позвольте мне рассказать вам без обиняков, что этот царь бизнес не дал мне лично ничего, кроме головной боли.\n-Mohammed Reza Pahlavi ;;;;;;;;;;;Позвольте мне рассказать вам без обиняков, что этот царь бизнес не дал мне лично ничего, кроме головной боли.\n-Mohammed Reza Pahlavi ;;x
loading_quote_10;Одна вещь, я поздравляю всех с великий взрыв, который произошел в Black House Вашингтона и очень важный скандал, который охватил лидеров Америки.\n-Ayatollah Khomeini ;;;;;;;;;;;Одна вещь, я поздравляю всех с великий взрыв, который произошел в Black House Вашингтона и очень важный скандал, который охватил лидеров Америки.\n-Ayatollah Khomeini ;;x
loading_quote_11;"Я однажды сказал: ""Мы вас похороним"", и я попал в беду за это. Конечно, мы не вас похороним с лопатой. Ваш собственный рабочий класс вас похороним.\n-Nikita Khrushchev";;;;;;;;;;;"Я однажды сказал: ""Мы вас похороним"", и я попал в беду за это. Конечно, мы не вас похороним с лопатой. Ваш собственный рабочий класс вас похороним.\n-Nikita Khrushchev";;x
